epoch,lr,train_loss,val_acc,epoch_time_s,is_best
1,0.0002,5.054,5.96,90.8,True
2,0.0004,4.7311,11.71,89.1,True
3,0.0006,4.5673,13.14,90.1,True
4,0.0008,4.4578,14.54,89.7,True
5,0.001,4.3765,15.57,89.6,True
6,0.001,4.3094,17.65,89.9,True
7,0.00099974,4.2093,19.46,90.2,True
8,0.00099896,4.1398,20.93,90.9,True
9,0.00099766,4.067,20.23,89.8,False
10,0.00099585,4.0196,22.82,89.1,True
11,0.00099352,3.9699,25.58,90.3,True
12,0.00099068,3.8726,25.74,90.4,True
13,0.00098733,3.8311,27.18,90.3,True
14,0.00098347,3.7742,28.32,91.7,True
15,0.00097912,3.7165,28.81,91.9,True
16,0.00097426,3.6978,30.02,91.4,True
17,0.00096892,3.648,30.49,92.6,True
18,0.00096309,3.5873,32.3,91.3,True
19,0.00095678,3.5328,32.01,90.6,False
20,0.00095,3.4938,33.17,91.7,True
21,0.00094275,3.4554,32.85,91.4,False
22,0.00093505,3.41,35.11,92.2,True
23,0.0009269,3.417,34.2,92.5,False
24,0.0009183,3.341,34.04,92.4,False
25,0.00090928,3.3589,36.02,92.4,True
26,0.00089984,3.2626,35.89,92.4,False
27,0.00088999,3.2416,37.15,91.3,True
28,0.00087974,3.2011,37.92,92.3,True
29,0.0008691,3.2229,36.82,91.6,False
30,0.00085809,3.1559,37.54,91.6,False
31,0.00084671,3.1231,38.78,90.7,True
32,0.00083498,3.1591,39.12,91.4,True
33,0.00082291,3.0993,38.85,91.6,False
34,0.00081051,3.115,39.08,92.2,False
35,0.00079781,3.0239,37.91,90.0,False
36,0.0007848,3.0377,39.41,92.7,True
37,0.00077151,2.9792,39.88,92.6,True
38,0.00075795,2.9705,39.7,91.0,False
39,0.00074414,2.9696,40.53,90.7,True
40,0.00073008,2.9061,40.87,90.7,True
41,0.00071581,2.9078,40.08,91.9,False
42,0.00070132,2.8117,41.0,92.0,True
43,0.00068664,2.864,41.01,91.0,True
44,0.00067178,2.8001,40.33,91.9,False
45,0.00065677,2.7733,41.0,91.9,False
46,0.00064161,2.7543,40.71,91.1,False
47,0.00062632,2.7791,41.19,93.6,True
48,0.00061092,2.7252,40.9,91.7,False
49,0.00059543,2.6591,41.7,91.9,True
50,0.00057986,2.6608,42.29,91.7,True
51,0.00056423,2.697,42.13,91.2,False
52,0.00054855,2.649,41.8,91.3,False
53,0.00053285,2.6132,42.09,91.1,False
54,0.00051715,2.652,42.04,90.8,False
55,0.00050145,2.5639,42.16,91.7,False
56,0.00048577,2.5452,41.8,92.1,False
57,0.00047014,2.5315,42.27,91.6,False
58,0.00045457,2.5374,43.65,92.2,True
59,0.00043908,2.4988,42.95,91.8,False
60,0.00042368,2.4993,42.87,91.4,False
61,0.00040839,2.4675,42.75,92.5,False
62,0.00039323,2.4467,43.65,90.9,False
63,0.00037822,2.4481,43.01,91.7,False
64,0.00036336,2.44,42.77,91.7,False
65,0.00034868,2.3927,43.34,92.1,False
66,0.00033419,2.4202,42.89,92.5,False
67,0.00031992,2.3992,43.25,91.6,False
68,0.00030586,2.3383,43.01,91.8,False
69,0.00029205,2.3073,42.97,91.9,False
70,0.00027849,2.3424,43.59,91.5,False
71,0.0002652,2.2972,43.58,91.5,False
72,0.00025219,2.3203,43.3,90.1,False
73,0.00023949,2.283,43.9,91.4,True
74,0.00022709,2.2451,43.97,91.1,True
75,0.00021502,2.2674,44.03,91.3,True
76,0.00020329,2.2294,44.05,91.6,True
77,0.00019191,2.2496,44.05,90.4,False
78,0.0001809,2.2422,44.37,91.7,True
79,0.00017026,2.1975,43.94,91.6,False
80,0.00016001,2.2001,44.1,92.4,False
81,0.00015016,2.1823,44.36,90.7,False
82,0.00014072,2.1664,44.16,91.6,False
83,0.0001317,2.1622,44.36,91.2,False
84,0.0001231,2.1944,44.47,91.9,True
85,0.00011495,2.1836,44.02,92.3,False
86,0.00010725,2.1493,44.62,90.9,True
87,0.0001,2.1085,44.58,91.2,False
88,9.322e-05,2.145,44.63,92.8,True
89,8.691e-05,2.102,44.76,91.4,True
90,8.108e-05,2.1389,44.48,91.1,False
91,7.574e-05,2.106,44.69,91.5,False
92,7.088e-05,2.1758,44.57,91.7,False
93,6.653e-05,2.1156,44.43,91.9,False
94,6.267e-05,2.0923,44.55,92.0,False
95,5.932e-05,2.1502,44.27,92.1,False
96,5.648e-05,2.0926,44.78,91.1,True
97,5.415e-05,2.1308,45.01,91.7,True
98,5.234e-05,2.0619,44.62,92.3,False
99,5.104e-05,2.0401,44.32,92.4,False
100,5.026e-05,2.099,44.86,92.5,False
